years_experience,position,skills,location,market_salary,final_salary
1,Junior,"['Agile', 'Hadoop', 'Next.js', 'PyTorch', 'Python']",Chennai,765000,778000
3,Junior,"['Data Pipelines', 'Firebase', 'Python', 'REST API']",Gurgaon,1031000,1142000
2,Mid,"['MySQL', 'Python', 'SQL', 'Spark']",Pune,1153000,989000
2,Mid,"['Azure', 'Deep Learning', 'PostgreSQL', 'Prompt Engineering', 'Python', 'Spark', 'TensorFlow']",Delhi,1740000,1753000
3,Mid,"['Firebase', 'Python', 'React Native', 'SQL', 'SQLite']",Noida,1659000,1667000
2,Mid,"['API Design', 'Android Development', 'ETL', 'LangChain', 'OpenAI API', 'Python', 'SQL']",Hyderabad,1405000,1410000
0,Junior,"['LangGraph', 'Microservices', 'SQL']",Hyderabad,732000,697000
17,Senior,"['Django', 'Java', 'LangChain', 'Node.js', 'PostgreSQL', 'Python']",Hyderabad,4185000,4170000
20,Director,"['AWS', 'Agile', 'GCP', 'HTML', 'LLM', 'Python']",Bangalore,8513000,8777000
17,Director,"['GCP', 'GitHub Actions', 'Python', 'RAG', 'SQL', 'System Design']",Hyderabad,6999000,8221000
8,Senior,"['AWS', 'Docker', 'SQL', 'System Design']",Gurgaon,3342000,3323000
8,Manager,"['Apache Spark', 'Data Science', 'FastAPI', 'Go', 'MLOps', 'Python', 'Spring Boot', 'TensorFlow']",Hyderabad,4458000,4131000
14,Senior,"['Dashboarding', 'Django', 'HTML', 'Kafka', 'SQL', 'Tailwind CSS']",Delhi,3616000,3258000
19,Manager,"['Kafka', 'SQL', 'SQLite', 'Vector Databases']",Chennai,4360000,4626000
17,Director,"['CI/CD', 'Docker', 'Kafka', 'NLP', 'Pandas', 'Python']",Gurgaon,8535000,8514000
9,Manager,"['AWS', 'CSS', 'Docker', 'GCP', 'Generative AI', 'MLOps', 'NumPy', 'Redis', 'SQL']",Hyderabad,4564000,5623000
9,Senior,"['Azure', 'FAISS', 'Kubernetes', 'PostgreSQL', 'Rust', 'SQL', 'System Design']",Bangalore,3392000,3527000
4,Mid,"['Apache Spark', 'Dashboarding', 'Prompt Engineering', 'Python', 'Terraform']",Pune,1663000,1775000
1,Junior,"['Flutter', 'Python', 'REST API', 'SQL']",Bangalore,867000,857000
1,Junior,"['GCP', 'Kubernetes', 'Python', 'SQL']",Mumbai,960000,1020000
6,Mid,"['API Design', 'Microservices', 'Next.js', 'Python', 'System Design', 'Tailwind CSS']",Gurgaon,2177000,2437000
19,Senior,"['FAISS', 'Groq API', 'Pandas', 'Python', 'System Design', 'TensorFlow']",Remote,3885000,3978000
1,Junior,"['Data Science', 'GitHub Actions', 'GraphQL', 'MLOps', 'PostgreSQL']",Mumbai,906000,858000
19,Director,"['API Design', 'DynamoDB', 'NumPy', 'OpenAI API', 'Python', 'SQL']",Mumbai,7690000,8158000
12,Senior,"['GCP', 'JavaScript', 'Kafka', 'LangGraph', 'MLOps', 'NLP', 'React Native', 'SQL']",Mumbai,4102000,3792000
4,Junior,"['OpenAI API', 'Python', 'System Design']",Remote,1090000,1073000
10,Lead,"['Apache Spark', 'C++', 'Data Analysis', 'FastAPI', 'Pandas', 'React Native', 'SQL', 'Spark', 'System Design', 'Terraform']",Mumbai,4441000,4013000
19,Manager,"['Bootstrap', 'Dashboarding', 'Express.js', 'LLM', 'Prompt Engineering', 'Python', 'REST API', 'SQL', 'TypeScript']",Chennai,4805000,5721000
1,Junior,"['Data Pipelines', 'Excel', 'SQL', 'Testing']",Gurgaon,864000,908000
2,Junior,"['SQL', 'Tableau']",Bangalore,948000,940000
12,Lead,"['Bootstrap', 'Kafka', 'LLM', 'Python', 'System Design', 'Tableau']",Hyderabad,4681000,4885000
14,Director,"['Docker', 'GCP', 'Kotlin', 'Nginx', 'Pandas', 'Python', 'SQL', 'System Design']",Delhi,8026000,8842000
18,Manager,"['Agile', 'Angular', 'Dart', 'Python', 'Rust', 'Spark', 'System Design']",Mumbai,6275000,5312000
20,Lead,"['AWS', 'Angular', 'LangGraph', 'Python', 'RAG']",Gurgaon,4936000,5086000
15,Manager,"['API Design', 'AWS', 'Flutter', 'MLOps', 'Python', 'Statistics']",Mumbai,5623000,6519000
6,Mid,"['GraphQL', 'MLOps', 'MongoDB', 'Nginx', 'Pandas', 'SQL', 'Swift']",Mumbai,2244000,2208000
8,Senior,"['Data Science', 'Docker', 'Kafka', 'LLM', 'LangGraph', 'MySQL', 'NLP', 'Python', 'SQL']",Mumbai,4155000,3719000
2,Mid,"['Bootstrap', 'Python', 'SQL']",Pune,1239000,1180000
20,Senior,"['API Design', 'Agile', 'Django', 'SQL']",Bangalore,3958000,4182000
13,Manager,"['Dashboarding', 'Hadoop', 'LangGraph', 'Python', 'SQL']",Bangalore,5438000,5201000
10,Director,"['ETL', 'FastAPI', 'Groq API', 'Python', 'Vector Databases']",Pune,5102000,4714000
0,Junior,"['Android Development', 'JavaScript', 'SQL', 'SQLite', 'iOS Development']",Pune,498000,492000
20,Director,"['GCP', 'NumPy', 'PostgreSQL', 'React', 'Terraform']",Mumbai,9091000,8086000
2,Mid,"['C++', 'Kafka', 'SQL', 'TypeScript']",Delhi,1620000,1632000
6,Senior,"['C', 'Dashboarding', 'Flutter', 'NLP', 'Next.js', 'OpenAI API', 'Python', 'SQL', 'TypeScript']",Delhi,2984000,2866000
4,Senior,"['Data Pipelines', 'JavaScript', 'PostgreSQL', 'SQL']",Bangalore,2674000,2828000
14,Lead,"['Angular', 'Apache Spark', 'C++', 'Docker', 'GraphQL', 'Kubernetes', 'NumPy', 'Scikit-learn', 'TypeScript']",Hyderabad,4611000,4917000
14,Lead,"['Azure', 'Dashboarding', 'FastAPI', 'MLOps', 'Python', 'Vector Databases']",Bangalore,4814000,4446000
15,Senior,"['FastAPI', 'LLM', 'NLP', 'Python', 'React', 'Redis', 'Rust', 'Vue.js']",Pune,3324000,3434000
18,Director,"['GitHub Actions', 'Groq API', 'Redis', 'SQL']",Delhi,6409000,5203000
18,Lead,"['Apache Spark', 'Bootstrap', 'Python', 'RAG', 'SQL', 'Spark', 'System Design']",Noida,5078000,4258000
15,Lead,"['Authentication', 'Generative AI', 'GraphQL', 'Java', 'MLOps', 'Python', 'Spark', 'Spring Boot', 'TypeScript']",Delhi,5009000,5756000
12,Lead,"['ETL', 'GraphQL', 'Nginx', 'REST API', 'Redis', 'SQL', 'Spark']",Delhi,5124000,5565000
9,Senior,"['Data Analysis', 'Python', 'RAG', 'Vector Databases']",Chennai,3114000,3298000
9,Senior,"['C', 'Dart', 'Data Analysis', 'HTML', 'JavaScript', 'NLP', 'Python', 'REST API']",Hyderabad,3044000,3093000
13,Mid,"['API Design', 'Bootstrap', 'Firebase', 'GraphQL', 'PyTorch', 'Python', 'Terraform']",Mumbai,2765000,2617000
9,Mid,"['Data Pipelines', 'Django', 'Hadoop', 'Microservices', 'Node.js', 'Python', 'SQL']",Bangalore,2730000,2974000
20,Lead,"['Android Development', 'C++', 'Docker', 'DynamoDB', 'Kubernetes', 'LangGraph', 'MLOps', 'MySQL', 'Python', 'Swift']",Mumbai,5675000,5956000
13,Senior,"['Data Pipelines', 'Redis', 'SQL', 'Swift', 'TypeScript', 'iOS Development']",Mumbai,4024000,4179000
19,Manager,"['Data Analysis', 'Nginx', 'Pandas', 'Python']",Mumbai,6323000,6603000
1,Junior,"['C++', 'CI/CD', 'Java', 'Python', 'SQL']",Bangalore,1000000,1031000
14,Director,"['AWS', 'GCP', 'Kafka', 'Node.js', 'Redis', 'SQL', 'Spring Boot', 'Vector Databases']",Noida,8096000,6899000
5,Senior,"['AWS', 'Machine Learning', 'NLP', 'NumPy', 'SQL', 'Tableau']",Mumbai,3216000,2968000
11,Lead,"['Dashboarding', 'Express.js', 'MLOps', 'Next.js', 'Nginx', 'Python', 'SQL']",Pune,3865000,4566000
12,Lead,"['Data Pipelines', 'Django', 'FAISS', 'HTML', 'LangChain', 'PyTorch', 'Redis', 'SQL']",Noida,4818000,4952000
1,Junior,"['Authentication', 'Django', 'FAISS', 'LangChain', 'Python']",Delhi,889000,949000
1,Junior,"['API Design', 'JavaScript', 'SQL']",Mumbai,935000,1000000
15,Manager,"['LangGraph', 'NLP', 'RAG', 'SQL']",Delhi,5561000,5676000
17,Lead,"['Generative AI', 'LLM', 'Power BI', 'Python', 'SQL', 'Vue.js']",Chennai,4313000,4123000
6,Mid,"['Data Science', 'Pandas', 'SQL', 'Spark']",Pune,1649000,1965000
8,Senior,"['AWS', 'GraphQL', 'Kotlin', 'SQL', 'Scikit-learn', 'iOS Development']",Pune,2628000,2892000
20,Mid,"['C++', 'Django', 'Firebase', 'MLOps', 'REST API', 'SQL']",Bangalore,3462000,3234000
15,Director,"['PyTorch', 'Python', 'Spark', 'Vue.js']",Delhi,6989000,5792000
16,Manager,"['Data Analysis', 'Flutter', 'GCP', 'Hadoop', 'Machine Learning', 'Python', 'SQL']",Hyderabad,4877000,4872000
15,Senior,"['Apache Spark', 'Docker', 'LangChain', 'MLOps', 'RAG', 'Tailwind CSS', 'TypeScript']",Mumbai,4248000,3974000
1,Junior,"['Express.js', 'Prompt Engineering', 'Python', 'Statistics']",Remote,736000,733000
7,Senior,"['Data Analysis', 'Hadoop', 'Python', 'React Native', 'SQL']",Pune,2818000,2738000
12,Senior,"['Dashboarding', 'Data Analysis', 'FastAPI', 'Terraform']",Pune,2880000,2882000
10,Mid,"['Apache Spark', 'CSS', 'NumPy']",Remote,2033000,2104000
13,Senior,"['AWS', 'Apache Spark', 'C++', 'Express.js', 'GitHub Actions', 'GraphQL', 'Kubernetes', 'PyTorch', 'Python']",Noida,3337000,3266000
7,Lead,"['Data Pipelines', 'Flutter', 'GitHub Actions', 'MLOps', 'Python', 'SQL', 'SQLite', 'Terraform']",Pune,3718000,3869000
9,Senior,"['Data Pipelines', 'Kotlin', 'Next.js', 'Power BI', 'Prompt Engineering', 'SQL', 'System Design']",Bangalore,3628000,3669000
10,Manager,"['C', 'Docker', 'Groq API', 'MLOps', 'Prompt Engineering', 'Python', 'Spring Boot', 'System Design', 'TypeScript']",Bangalore,5431000,5156000
19,Lead,"['Python', 'REST API', 'SQL', 'Swift', 'System Design', 'TypeScript']",Mumbai,5345000,4615000
6,Junior,"['FastAPI', 'Python', 'Redis']",Mumbai,1608000,1869000
9,Senior,"['Data Science', 'Express.js', 'GCP', 'JavaScript', 'Python', 'React']",Mumbai,3648000,3902000
12,Senior,"['Excel', 'GitHub Actions', 'Pandas', 'Python', 'System Design', 'Testing']",Delhi,3818000,3294000
14,Senior,"['C', 'MLOps', 'MongoDB', 'React', 'SQL']",Bangalore,4090000,3892000
17,Director,"['Android Development', 'Data Pipelines', 'Kotlin', 'LangGraph', 'Machine Learning', 'Python', 'Swift']",Hyderabad,7797000,8405000
19,Manager,"['Data Pipelines', 'Generative AI', 'React Native', 'SQL', 'SQLite']",Hyderabad,4767000,4274000
4,Junior,"['FastAPI', 'Generative AI', 'Redis', 'SQLite', 'Swift']",Mumbai,1383000,1578000
11,Senior,"['ETL', 'Nginx', 'Prompt Engineering', 'SQL']",Delhi,3797000,4580000
5,Lead,"['Groq API', 'HTML', 'LLM', 'Python', 'SQL']",Noida,3577000,3970000
5,Junior,"['CI/CD', 'Python']",Hyderabad,1254000,1172000
7,Senior,"['Android Development', 'Dart', 'ETL', 'Generative AI', 'Go', 'Next.js', 'Python']",Delhi,3340000,3634000
6,Mid,"['Apache Spark', 'Java', 'MongoDB', 'Python', 'SQL']",Pune,1793000,1698000
13,Manager,"['CSS', 'Generative AI', 'MySQL', 'Python', 'Rust', 'SQLite', 'System Design', 'Tailwind CSS', 'iOS Development']",Chennai,4076000,4151000
4,Senior,"['Data Analysis', 'FAISS', 'LLM', 'Python']",Delhi,2860000,2266000
6,Mid,"['Hadoop', 'LLM', 'PostgreSQL', 'Python']",Bangalore,2350000,2371000
11,Mid,"['CSS', 'Firebase', 'Groq API', 'LLM', 'OpenAI API', 'Python', 'SQL']",Noida,2380000,2314000
19,Manager,"['Python', 'React', 'React Native', 'Rust', 'SQL', 'Swift', 'Tailwind CSS', 'Vue.js']",Hyderabad,4830000,4614000
1,Junior,"['Python', 'SQL']",Chennai,710000,611000
16,Director,"['AWS', 'Express.js', 'GitHub Actions', 'Python', 'Statistics', 'System Design', 'TensorFlow', 'Testing']",Mumbai,7310000,7601000
16,Senior,"['GitHub Actions', 'NumPy', 'Python', 'SQL']",Pune,3394000,3876000
3,Mid,"['Angular', 'Azure', 'Go', 'Hadoop', 'Python']",Mumbai,1858000,1884000
10,Lead,"['Data Science', 'Python', 'SQL', 'Spark', 'TensorFlow']",Pune,3648000,3566000
15,Lead,"['DynamoDB', 'Python', 'SQL', 'Spring Boot', 'Vue.js']",Gurgaon,5320000,6121000
11,Senior,"['Agile', 'Apache Spark', 'Kubernetes', 'MongoDB', 'Prompt Engineering', 'Terraform']",Delhi,3722000,3532000
9,Manager,"['Data Science', 'Docker', 'Go', 'MLOps', 'Next.js', 'PostgreSQL', 'Python', 'Vector Databases']",Noida,5436000,6475000
20,Manager,"['C', 'Docker', 'FastAPI', 'LangGraph', 'SQL', 'Tableau']",Delhi,5284000,5719000
9,Mid,"['C++', 'Python', 'Statistics']",Delhi,2397000,2197000
4,Mid,"['CI/CD', 'NumPy', 'Python', 'Rust']",Bangalore,1815000,1683000
6,Manager,"['CSS', 'LangChain', 'Node.js', 'Power BI', 'Python', 'Spark']",Bangalore,5415000,5400000
20,Director,"['C++', 'Power BI', 'Prompt Engineering', 'Spark', 'System Design']",Chennai,6555000,7346000
12,Senior,"['Dart', 'Data Pipelines', 'Flutter', 'Hadoop', 'NumPy', 'PostgreSQL', 'PyTorch', 'Python', 'Testing']",Delhi,3802000,4270000
11,Senior,"['AWS', 'ETL', 'LangGraph', 'Node.js', 'SQL']",Gurgaon,4042000,4191000
17,Manager,"['AWS', 'Agile', 'Bootstrap', 'Data Pipelines', 'Generative AI', 'Python', 'React Native', 'SQL']",Delhi,5819000,6792000
10,Mid,"['Data Analysis', 'FastAPI', 'Pandas', 'Python', 'SQL', 'Terraform', 'Vector Databases']",Mumbai,2599000,2767000
16,Director,"['Authentication', 'Azure', 'Computer Vision', 'GCP', 'SQL', 'Testing', 'iOS Development']",Delhi,8160000,7127000
0,Junior,"['Python', 'Vector Databases']",Delhi,666000,632000
17,Mid,"['Groq API', 'Kafka', 'MongoDB', 'Prompt Engineering', 'Python', 'SQL', 'Statistics']",Remote,2589000,2242000
0,Junior,"['Python', 'SQL']",Mumbai,715000,764000
11,Senior,"['Microservices', 'Python', 'SQL', 'Scikit-learn', 'System Design']",Mumbai,4041000,3623000
6,Mid,"['Docker', 'Kubernetes', 'Machine Learning', 'MongoDB', 'Nginx', 'Python']",Delhi,2221000,2001000
16,Lead,"['C++', 'CSS', 'Data Science', 'Java', 'Next.js', 'Node.js', 'SQLite', 'Spark', 'Tableau', 'Terraform']",Pune,4111000,4488000
18,Lead,"['AWS', 'Hadoop', 'Kotlin', 'LLM', 'MLOps', 'Next.js', 'Pandas', 'Python', 'SQL', 'Vue.js']",Remote,4341000,3852000
10,Director,"['Agile', 'MLOps', 'NumPy', 'Python', 'RAG', 'iOS Development']",Delhi,7070000,6624000
12,Director,"['Excel', 'GCP', 'Python', 'Scikit-learn']",Chennai,5876000,6494000
18,Director,"['Agile', 'Bootstrap', 'C', 'Java', 'LangChain', 'MLOps', 'Python']",Bangalore,8412000,9571000
17,Manager,"['Dashboarding', 'Flutter', 'Kotlin', 'Microservices', 'NLP', 'NumPy', 'React Native', 'Statistics']",Remote,4523000,5887000
4,Senior,"['Flutter', 'Java', 'NumPy', 'Python', 'SQL', 'SQLite', 'Tableau']",Mumbai,3003000,3086000
6,Senior,"['Docker', 'Kotlin', 'OpenAI API', 'Prompt Engineering', 'Python', 'SQL', 'System Design', 'TensorFlow']",Mumbai,3070000,3357000
17,Director,"['Azure', 'Django', 'HTML', 'Kubernetes', 'LLM', 'Python', 'Spark']",Hyderabad,6439000,7208000
17,Lead,"['Android Development', 'Authentication', 'Data Pipelines', 'Data Science', 'Excel', 'Java', 'NumPy', 'PostgreSQL', 'REST API', 'Swift']",Remote,3326000,3903000
7,Mid,"['Dart', 'Machine Learning', 'Python', 'Terraform']",Bangalore,2202000,2104000
5,Senior,"['Django', 'Hadoop', 'Kubernetes', 'LangChain', 'Machine Learning', 'Python', 'Redis', 'SQL', 'System Design']",Bangalore,3687000,4304000
20,Lead,"['AWS', 'Groq API', 'MLOps', 'Prompt Engineering', 'Python', 'SQL', 'SQLite']",Pune,4000000,3468000
16,Lead,"['Android Development', 'Apache Spark', 'FastAPI', 'GitHub Actions', 'Kubernetes', 'LLM', 'PyTorch', 'Python', 'React']",Gurgaon,5461000,5600000
13,Lead,"['Data Analysis', 'DynamoDB', 'Kafka', 'LLM', 'MLOps', 'Python', 'SQL', 'System Design', 'TensorFlow', 'Testing']",Bangalore,5490000,5359000
14,Director,"['AWS', 'Apache Spark', 'Groq API', 'LangChain', 'Python', 'SQL']",Bangalore,7316000,6698000
1,Mid,"['Express.js', 'Groq API', 'Java', 'JavaScript', 'LangChain', 'Machine Learning']",Noida,1568000,1599000
9,Senior,"['C', 'Deep Learning', 'MLOps', 'Python', 'Rust', 'Vector Databases', 'Vue.js']",Mumbai,3683000,3525000
18,Mid,"['Agile', 'Data Science', 'Kotlin', 'Next.js']",Chennai,2779000,2722000
9,Senior,"['C', 'Dart', 'DynamoDB', 'Express.js', 'FastAPI', 'MLOps', 'Pandas', 'Python', 'Vector Databases']",Gurgaon,3461000,3184000
18,Mid,"['Agile', 'FastAPI', 'Machine Learning', 'SQL']",Mumbai,3276000,2456000
5,Manager,"['Go', 'Machine Learning', 'Microservices', 'Python', 'SQL', 'System Design']",Mumbai,5289000,5749000
17,Lead,"['C', 'Computer Vision', 'Firebase', 'Hadoop', 'LangChain', 'NumPy', 'Python', 'Swift']",Delhi,5322000,6575000
18,Manager,"['Dashboarding', 'GitHub Actions', 'Groq API', 'LangGraph', 'Python', 'SQL', 'Vue.js']",Chennai,3711000,3489000
9,Senior,"['Android Development', 'Machine Learning', 'Python', 'SQL', 'SQLite']",Gurgaon,3295000,3027000
13,Senior,"['Docker', 'Kubernetes', 'Python', 'React Native']",Delhi,3683000,3371000
6,Mid,"['Bootstrap', 'Data Analysis', 'Deep Learning', 'Flutter', 'Python', 'React', 'SQL']",Bangalore,2164000,2051000
18,Senior,"['Docker', 'NumPy', 'SQL', 'System Design']",Mumbai,4303000,4476000
10,Mid,"['C++', 'LLM', 'NumPy', 'Python', 'Statistics', 'Vue.js']",Bangalore,2432000,2369000
14,Junior,"['NLP', 'Python']",Delhi,2285000,2628000
6,Senior,"['Machine Learning', 'NLP', 'Python', 'REST API', 'Redis']",Mumbai,3542000,3254000
0,Mid,"['Data Science', 'Microservices', 'MySQL', 'Node.js', 'NumPy', 'SQL']",Delhi,1178000,1056000
1,Junior,"['FAISS', 'JavaScript', 'Python', 'SQL']",Hyderabad,778000,651000
5,Senior,"['Docker', 'Groq API', 'Machine Learning', 'Nginx', 'SQL']",Pune,2467000,2550000
6,Junior,"['FastAPI', 'Pandas', 'Python', 'SQL']",Bangalore,1501000,1459000
8,Senior,"['Android Development', 'CI/CD', 'CSS', 'Firebase', 'MySQL', 'Rust', 'SQL', 'TensorFlow', 'Vector Databases']",Pune,2614000,2991000
17,Manager,"['Generative AI', 'GitHub Actions', 'Go', 'HTML', 'LangChain', 'Nginx', 'Python', 'React', 'Statistics']",Bangalore,6142000,6658000
1,Junior,"['Groq API', 'Python', 'SQL', 'iOS Development']",Bangalore,928000,921000
1,Senior,"['Dashboarding', 'NumPy', 'Python', 'Scikit-learn', 'System Design']",Hyderabad,2246000,2447000
6,Mid,"['Agile', 'Authentication', 'Microservices', 'Python', 'Spark']",Mumbai,2379000,2179000
17,Director,"['Bootstrap', 'LangGraph', 'Tableau', 'Tailwind CSS']",Hyderabad,6854000,6179000
8,Manager,"['AWS', 'Dashboarding', 'Deep Learning', 'Excel', 'MLOps', 'Python', 'System Design']",Mumbai,4990000,4325000
5,Senior,"['Dart', 'Django', 'Python', 'React', 'SQL', 'Scikit-learn', 'Swift', 'TypeScript']",Remote,2531000,2712000
13,Lead,"['Azure', 'C', 'Express.js', 'Kafka', 'LangChain', 'Microservices', 'MongoDB', 'PyTorch', 'Python']",Gurgaon,5551000,6244000
11,Senior,"['Computer Vision', 'Hadoop', 'MLOps', 'SQL']",Remote,3025000,3188000
19,Director,"['Authentication', 'Data Science', 'Java', 'Nginx', 'NumPy', 'Pandas', 'SQL', 'Statistics']",Bangalore,7993000,9357000
1,Junior,"['Agile', 'Python', 'SQL']",Remote,683000,730000
7,Junior,"['Hadoop', 'SQL']",Pune,1070000,1159000
20,Senior,"['Angular', 'Authentication', 'Generative AI', 'SQL']",Bangalore,4465000,4376000
9,Senior,"['Next.js', 'Power BI', 'Python', 'SQL']",Pune,2803000,3093000
20,Manager,"['Deep Learning', 'ETL', 'Python', 'SQL', 'TensorFlow']",Mumbai,5749000,6443000
11,Senior,"['Agile', 'Computer Vision', 'Data Science', 'Java', 'PyTorch', 'Python', 'React', 'SQLite', 'Vector Databases']",Chennai,3204000,2817000
12,Senior,"['Firebase', 'MLOps', 'Python', 'React Native', 'SQL', 'Statistics', 'Tableau', 'TypeScript']",Gurgaon,3580000,3177000
17,Manager,"['AWS', 'CI/CD', 'Firebase', 'MySQL', 'Python', 'RAG', 'SQL', 'Spark']",Bangalore,5666000,5285000
18,Lead,"['Android Development', 'Authentication', 'Express.js', 'Hadoop', 'Java', 'Pandas', 'Power BI', 'Python', 'React', 'Scikit-learn']",Bangalore,5716000,6307000
15,Lead,"['CI/CD', 'Kubernetes', 'Pandas', 'Python', 'SQL']",Bangalore,4909000,5185000
20,Manager,"['Authentication', 'Generative AI', 'Go', 'Java', 'LangGraph', 'MLOps', 'Machine Learning', 'SQL', 'Testing']",Delhi,6186000,7240000
7,Mid,"['Express.js', 'Java', 'Power BI', 'SQL', 'Swift']",Bangalore,2422000,2606000
0,Junior,"['Flutter', 'Generative AI', 'Python', 'SQL']",Mumbai,762000,790000
6,Mid,"['C++', 'CSS', 'Power BI', 'Python', 'REST API', 'Redis']",Delhi,2237000,2129000
15,Senior,"['FAISS', 'Kafka', 'LLM', 'MLOps', 'Python', 'SQL']",Bangalore,4567000,5495000
20,Manager,"['Go', 'Hadoop', 'SQL', 'Scikit-learn', 'Vector Databases']",Bangalore,6120000,7900000
14,Manager,"['AWS', 'C++', 'Dashboarding', 'DynamoDB', 'ETL', 'HTML', 'OpenAI API', 'Python', 'REST API']",Pune,4200000,3896000
3,Mid,"['Nginx', 'PyTorch', 'SQL']",Remote,1504000,1550000
16,Director,"['AWS', 'Dart', 'Generative AI', 'Kafka', 'Python', 'SQL', 'TensorFlow']",Gurgaon,6877000,6774000
11,Senior,"['Computer Vision', 'Django', 'ETL', 'Excel', 'Machine Learning', 'Python', 'React', 'Statistics', 'iOS Development']",Bangalore,4109000,4135000
14,Lead,"['Dashboarding', 'Groq API', 'Java', 'LangChain', 'LangGraph', 'MongoDB', 'React Native', 'SQL', 'System Design', 'Testing']",Pune,4438000,4843000
8,Lead,"['Agile', 'Apache Spark', 'Excel', 'Python', 'SQL', 'Statistics']",Hyderabad,4260000,3981000
13,Lead,"['Bootstrap', 'CI/CD', 'Django', 'Docker', 'DynamoDB', 'FAISS', 'HTML', 'Python', 'System Design', 'Vue.js']",Bangalore,4847000,4343000
1,Mid,"['C', 'Microservices', 'OpenAI API', 'Prompt Engineering', 'Python', 'REST API', 'SQL']",Delhi,1461000,1491000
4,Junior,"['Java', 'Kafka', 'Python']",Bangalore,1455000,1676000
1,Mid,"['Apache Spark', 'C', 'MySQL', 'Python', 'SQL']",Chennai,1128000,1263000
19,Director,"['Computer Vision', 'Data Science', 'Django', 'MLOps', 'Python', 'SQL']",Mumbai,8327000,8248000
19,Manager,"['Dashboarding', 'Docker', 'ETL', 'SQL', 'iOS Development']",Hyderabad,5408000,5766000
8,Senior,"['AWS', 'Dart', 'Deep Learning', 'Next.js', 'Pandas', 'Python', 'SQLite', 'Spark']",Bangalore,4080000,4544000
16,Manager,"['Go', 'Python', 'SQL', 'Tableau']",Noida,5203000,5607000
1,Junior,"['Flutter', 'Python', 'SQL', 'Spring Boot']",Remote,650000,625000
1,Junior,"['Python', 'Swift']",Remote,694000,702000
9,Senior,"['CSS', 'Microservices', 'Python', 'RAG', 'SQL', 'Statistics', 'System Design', 'TypeScript']",Chennai,3031000,3178000
11,Manager,"['Authentication', 'HTML', 'NLP', 'Python', 'SQL', 'Statistics', 'Terraform']",Hyderabad,4993000,5559000
14,Lead,"['Computer Vision', 'Dart', 'JavaScript', 'Kafka', 'Kubernetes', 'Prompt Engineering', 'SQL', 'System Design']",Pune,4448000,4488000
19,Senior,"['Data Pipelines', 'Django', 'Excel', 'Java', 'Python', 'React Native', 'SQL', 'Scikit-learn', 'Statistics']",Chennai,3490000,3547000
18,Director,"['CI/CD', 'MLOps', 'MongoDB', 'SQL', 'SQLite', 'Terraform', 'Vue.js']",Bangalore,7710000,6830000
7,Lead,"['Generative AI', 'Groq API', 'Machine Learning', 'OpenAI API', 'Python']",Pune,3600000,4188000
1,Junior,"['Android Development', 'Authentication', 'Django', 'Hadoop']",Remote,717000,772000
15,Mid,"['Data Pipelines', 'Deep Learning', 'Machine Learning', 'Microservices', 'Next.js', 'Python', 'Tailwind CSS']",Delhi,3052000,2967000
17,Senior,"['Dart', 'GitHub Actions', 'Next.js', 'Power BI', 'Python', 'Rust', 'SQL', 'Spark', 'Vector Databases']",Pune,3477000,3591000
18,Senior,"['API Design', 'CI/CD', 'ETL', 'Generative AI', 'Kafka', 'MLOps', 'Python', 'System Design', 'Vue.js']",Delhi,4105000,3877000
8,Senior,"['AWS', 'Apache Spark', 'C', 'Docker', 'Kubernetes', 'MongoDB', 'React Native', 'SQL']",Mumbai,3313000,3773000
12,Mid,"['Azure', 'Python', 'SQL']",Remote,2355000,2615000
15,Manager,"['Agile', 'Data Science', 'Power BI', 'PyTorch', 'Python', 'SQL', 'System Design']",Remote,4859000,5276000
10,Senior,"['CSS', 'Dart', 'Kotlin', 'Kubernetes', 'Python', 'SQL']",Bangalore,3421000,3714000
3,Mid,"['DynamoDB', 'Machine Learning', 'Nginx', 'SQL']",Bangalore,1895000,1847000
3,Junior,"['Flutter', 'GitHub Actions', 'Python', 'Statistics']",Noida,988000,844000
1,Junior,"['Excel', 'Python', 'SQL', 'System Design']",Delhi,907000,848000
12,Mid,"['Flutter', 'GraphQL', 'Microservices', 'Python', 'Spring Boot', 'Terraform', 'Vector Databases']",Mumbai,2685000,2687000
17,Director,"['Apache Spark', 'C', 'ETL', 'FAISS', 'GCP', 'SQL']",Gurgaon,6265000,5771000
15,Lead,"['Computer Vision', 'Excel', 'Groq API', 'Kotlin', 'Kubernetes', 'LLM', 'Spring Boot', 'System Design']",Mumbai,4953000,5077000
10,Director,"['Django', 'GCP', 'PyTorch', 'Python', 'SQL', 'Scikit-learn', 'iOS Development']",Bangalore,7210000,6666000
18,Lead,"['AWS', 'Express.js', 'Pandas', 'PyTorch', 'Python', 'SQL', 'Vue.js']",Remote,4562000,5067000
8,Senior,"['Dart', 'Dashboarding', 'Docker', 'Kubernetes', 'LLM', 'SQL', 'Statistics', 'System Design', 'TensorFlow']",Remote,3037000,3773000
8,Senior,"['CI/CD', 'Data Pipelines', 'GCP', 'MLOps', 'MongoDB', 'Python', 'Scikit-learn', 'Testing', 'TypeScript']",Bangalore,3404000,3517000
7,Senior,"['Agile', 'CI/CD', 'Groq API', 'Python', 'React', 'Spring Boot', 'Testing']",Pune,2499000,2683000
3,Junior,"['Data Analysis', 'Spring Boot']",Remote,777000,817000
